part,model,optimization,opt_arm_id,opt_is_reference,opt_input_size,opt_n_slices,opt_augmentation,tumor_context_mode,roi_only_background_value,AUC,DeLong_CI_lower,DeLong_CI_upper,AUC_with_DeLong_95CI,Jackknife_CI_lower,Jackknife_CI_upper,AUC_with_Jackknife_95CI,Jackknife_min_AUC,Jackknife_max_AUC,Bootstrap_CI_lower,Bootstrap_CI_upper,AUC_with_Bootstrap_95CI,Bootstrap_repeats,Brier_score,n_test_patients,OOF_threshold,OOF_accuracy,OOF_balanced_accuracy,OOF_sensitivity,OOF_specificity,OOF_F1_score,OOF_MCC,OOF_YOUDEN,OOF_threshold_source,INSAMPLE_threshold,INSAMPLE_accuracy,INSAMPLE_balanced_accuracy,INSAMPLE_sensitivity,INSAMPLE_specificity,INSAMPLE_F1_score,INSAMPLE_MCC,INSAMPLE_YOUDEN,INSAMPLE_threshold_source,toprisk_percent,toprisk_threshold,toprisk_accuracy,toprisk_balanced_accuracy,toprisk_sensitivity,toprisk_specificity,toprisk_F1_score,toprisk_MCC,toprisk_threshold_source,DeLong_CI_method,Jackknife_CI_method,Bootstrap_CI_method
3_efficient_ml,radimagenet_resnet10t__gray3__label_thrfull__efficient_ML|NAIVE_BAYES,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.8198198198198198,0.6244098816099071,1.0,0.820 (0.624–1.000),0.6157710957974716,1.0,0.820 (0.616–1.000),0.8023648648648649,0.9121621621621621,0.5945570570570571,0.963963963963964,0.820 (0.595–0.964),2000,0.18146731261039079,46,0.5420211207730112,0.8043478260869565,0.7942942942942943,0.7777777777777778,0.8108108108108109,0.6086956521739131,0.5074519755676468,0.5885885885885886,development pooled OOF Youden threshold applied unchanged to holdout,0.003940385097076424,0.6739130434782609,0.7552552552552552,0.8888888888888888,0.6216216216216216,0.5161290322580645,0.40542436331443427,0.5105105105105103,full-development in-sample Youden threshold applied to holdout,25.0,0.9619195375450134,0.8043478260869565,0.7522522522522522,0.6666666666666666,0.8378378378378378,0.5714285714285714,0.4557819093751084,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
1_cnn_end2end,radimagenet_resnet50|frozen|thrfull,False,,False,224,1,FLIPS,MIN_BBOX,,0.8078078078078078,0.6779051982451919,0.9377104173704237,0.808 (0.678–0.938),0.6746136854106104,0.9410019302050052,0.808 (0.675–0.941),0.7871621621621622,0.8310810810810811,0.6636636636636637,0.924924924924925,0.808 (0.664–0.925),2000,0.1942799056669127,46,0.4748155325651169,0.6956521739130435,0.7687687687687688,0.8888888888888888,0.6486486486486487,0.5333333333333333,0.4281059486560579,,development pooled OOF Youden threshold applied unchanged to holdout,,,,,,,,,,25.0,0.6157541871070862,0.7608695652173914,0.6831831831831832,0.5555555555555556,0.8108108108108109,0.47619047619047616,0.3309844818081144,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
3_efficient_ml,radimagenet_resnet50__gray3__label_thrfull__efficient_ML|NAIVE_BAYES,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.8078078078078078,0.633662706269444,0.9819529093461716,0.808 (0.634–0.982),0.626413360509571,0.9892022551060446,0.808 (0.626–0.989),0.7837837837837838,0.8817567567567568,0.6155405405405405,0.9519519519519519,0.808 (0.616–0.952),2000,0.19158610345018626,46,0.9999998540453081,0.8260869565217391,0.5555555555555556,0.1111111111111111,1.0,0.2,0.302254900194121,0.11111111111111116,development pooled OOF Youden threshold applied unchanged to holdout,0.334504821231889,0.6739130434782609,0.7552552552552552,0.8888888888888888,0.6216216216216216,0.5161290322580645,0.40542436331443427,0.5105105105105103,full-development in-sample Youden threshold applied to holdout,25.0,0.7082068114486687,0.8043478260869565,0.7522522522522522,0.6666666666666666,0.8378378378378378,0.5714285714285714,0.4557819093751084,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
3_efficient_ml,radimagenet_resnet10t__gray3__label_thrfull__efficient_ML|LOGREG,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.8018018018018018,0.5843087974939527,1.0,0.802 (0.584–1.000),0.5740250857900789,1.0,0.802 (0.574–1.000),0.777027027027027,0.8986486486486487,0.5644894894894895,0.972972972972973,0.802 (0.564–0.973),2000,0.22359226265877216,46,0.6132587613346494,0.8043478260869565,0.7942942942942943,0.7777777777777778,0.8108108108108109,0.6086956521739131,0.5074519755676468,0.5885885885885886,development pooled OOF Youden threshold applied unchanged to holdout,0.5717142604775141,0.8043478260869565,0.7942942942942943,0.7777777777777778,0.8108108108108109,0.6086956521739131,0.5074519755676468,0.5885885885885886,full-development in-sample Youden threshold applied to holdout,25.0,0.651116166385283,0.8043478260869565,0.7522522522522522,0.6666666666666666,0.8378378378378378,0.5714285714285714,0.4557819093751084,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
4_cnn_finetuned,radimagenet_resnet10t|finetune_improved|thrfull,False,,False,224,1,BASIC,MIN_BBOX,,0.7927927927927928,0.5923448282398548,0.993240757345731,0.793 (0.592–0.993),0.5833832857442551,1.0,0.793 (0.583–1.000),0.7668918918918919,0.8817567567567568,0.5705705705705705,0.9459459459459459,0.793 (0.571–0.946),2000,0.22348097975551787,46,0.47001124918460846,0.5217391304347826,0.6606606606606606,0.8888888888888888,0.43243243243243246,0.42105263157894735,0.26408163568688686,,median repeat-wise development fine-tuned outer-OOF Youden threshold matched to final refit model family applied unchanged to holdout,,,,,,,,,,25.0,0.5012968182563782,0.8043478260869565,0.7522522522522522,0.6666666666666666,0.8378378378378378,0.5714285714285714,0.4557819093751084,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
1_cnn_end2end,imagenet_resnet10t|frozen|thrfull,False,,False,224,1,FLIPS,MIN_BBOX,,0.7687687687687688,0.5902631578642181,0.9472743796733194,0.769 (0.590–0.947),0.5829087648177693,0.9546287727197682,0.769 (0.583–0.955),0.7398648648648648,0.8277027027027027,0.5855855855855856,0.9279279279279279,0.769 (0.586–0.928),2000,0.25413359771256716,46,0.5483193248510361,0.6739130434782609,0.7132132132132132,0.7777777777777778,0.6486486486486487,0.4827586206896552,0.3412436320976795,,development pooled OOF Youden threshold applied unchanged to holdout,,,,,,,,,,25.0,0.666228175163269,0.7608695652173914,0.6831831831831832,0.5555555555555556,0.8108108108108109,0.47619047619047616,0.3309844818081144,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
3_efficient_ml,radimagenet_resnet50__gray3__label_thrfull__efficient_ML|LOGREG,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.7657657657657658,0.5622803753791109,0.9692511561524207,0.766 (0.562–0.969),0.5531347401458986,0.9783967913856331,0.766 (0.553–0.978),0.7364864864864865,0.8412162162162162,0.5465465465465466,0.9400150150150146,0.766 (0.547–0.940),2000,0.21356922675635123,46,0.5393541023110626,0.7608695652173914,0.7252252252252251,0.6666666666666666,0.7837837837837838,0.5217391304347826,0.3883561037507501,0.4504504504504503,development pooled OOF Youden threshold applied unchanged to holdout,0.4797465655060723,0.6304347826086957,0.6861861861861862,0.7777777777777778,0.5945945945945946,0.45161290322580644,0.29572130029994026,0.3723723723723724,full-development in-sample Youden threshold applied to holdout,25.0,0.5486140167975201,0.8043478260869565,0.7522522522522522,0.6666666666666666,0.8378378378378378,0.5714285714285714,0.4557819093751084,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
1_cnn_end2end,radimagenet_densenet121|frozen|thrfull,False,,False,224,1,FLIPS,MIN_BBOX,,0.7657657657657657,0.5635993199960638,0.967932211535468,0.766 (0.564–0.968),0.5546842638022011,0.9768472677293303,0.766 (0.555–0.977),0.7364864864864865,0.8412162162162162,0.5495495495495496,0.9429429429429429,0.766 (0.550–0.943),2000,0.22656449779496018,46,0.4734284430742264,0.8043478260869565,0.7522522522522522,0.6666666666666666,0.8378378378378378,0.5714285714285714,0.4557819093751084,,development pooled OOF Youden threshold applied unchanged to holdout,,,,,,,,,,25.0,0.4744129776954651,0.8043478260869565,0.7522522522522522,0.6666666666666666,0.8378378378378378,0.5714285714285714,0.4557819093751084,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
4_cnn_finetuned,imagenet_resnet10t|finetune_improved|thrfull,False,,False,224,1,BASIC,MIN_BBOX,,0.7537537537537538,0.5569074589898355,0.950600048517672,0.754 (0.557–0.951),0.5482865340729515,0.959220973434556,0.754 (0.548–0.959),0.722972972972973,0.8175675675675675,0.5525525525525525,0.9279279279279279,0.754 (0.553–0.928),2000,0.22942407266250966,46,0.5591624081134796,0.6956521739130435,0.6426426426426426,0.5555555555555556,0.7297297297297297,0.4166666666666667,0.241420981984075,,median repeat-wise development fine-tuned outer-OOF Youden threshold matched to final refit model family applied unchanged to holdout,,,,,,,,,,25.0,0.649148166179657,0.7608695652173914,0.6831831831831832,0.5555555555555556,0.8108108108108109,0.47619047619047616,0.3309844818081144,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
4_cnn_finetuned,radimagenet_densenet121|finetune_improved|thrfull,False,,False,224,1,BASIC,MIN_BBOX,,0.7537537537537538,0.5518421222290573,0.9556653852784502,0.754 (0.552–0.956),0.5429625514275244,0.9645449560799831,0.754 (0.543–0.965),0.722972972972973,0.831081081081081,0.5404654654654656,0.9279279279279279,0.754 (0.540–0.928),2000,0.21551606968336826,46,0.4606335759162903,0.5652173913043478,0.6456456456456456,0.7777777777777778,0.5135135135135135,0.4117647058823529,0.23199037441138332,,median repeat-wise development fine-tuned outer-OOF Youden threshold matched to final refit model family applied unchanged to holdout,,,,,,,,,,25.0,0.5741720199584961,0.7608695652173914,0.6831831831831832,0.5555555555555556,0.8108108108108109,0.47619047619047616,0.3309844818081144,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
3_efficient_ml,radimagenet_inceptionv3__gray3__label_thrfull__efficient_ML|LOGREG,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.7477477477477477,0.523072964166492,0.9724225313290036,0.748 (0.523–0.972),0.5127198038261609,0.9827756916693344,0.748 (0.513–0.983),0.7162162162162162,0.8412162162162162,0.5045045045045046,0.9309309309309309,0.748 (0.505–0.931),2000,0.21491805040052203,46,0.028288364773604323,0.2826086956521739,0.512012012012012,0.8888888888888888,0.13513513513513514,0.32653061224489793,0.028298423998533925,0.024024024024023927,development pooled OOF Youden threshold applied unchanged to holdout,0.5623678486423673,0.717391304347826,0.6981981981981982,0.6666666666666666,0.7297297297297297,0.48,0.33016512385321534,0.39639639639639634,full-development in-sample Youden threshold applied to holdout,25.0,0.6952355588845756,0.8043478260869565,0.7522522522522522,0.6666666666666666,0.8378378378378378,0.5714285714285714,0.4557819093751084,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
4_cnn_finetuned,radimagenet_resnet50|finetune_improved|thrfull,False,,False,224,1,BASIC,MIN_BBOX,,0.7477477477477477,0.5751149893973515,0.920380506098144,0.748 (0.575–0.920),0.5686684111109732,0.9268270843845221,0.748 (0.569–0.927),0.7195945945945945,0.7972972972972974,0.5615615615615616,0.9009009009009009,0.748 (0.562–0.901),2000,0.16106426074220928,46,0.48220525681972504,0.782608695652174,0.6966966966966968,0.5555555555555556,0.8378378378378378,0.5,0.365863272078428,,median repeat-wise development fine-tuned outer-OOF Youden threshold matched to final refit model family applied unchanged to holdout,,,,,,,,,,25.0,0.47167298197746277,0.7608695652173914,0.6831831831831832,0.5555555555555556,0.8108108108108109,0.47619047619047616,0.3309844818081144,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
3_efficient_ml,radimagenet_densenet121__gray3__label_thrfull__efficient_ML|NAIVE_BAYES,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.7447447447447447,0.5040007662185381,0.9854887232709514,0.745 (0.504–0.985),0.4925618549419741,0.9969276345475153,0.745 (0.493–0.997),0.7128378378378378,0.8277027027027027,0.4954954954954955,0.9639639639639639,0.745 (0.495–0.964),2000,0.4204921420299402,46,0.2982563163192986,0.4782608695652174,0.5915915915915916,0.7777777777777778,0.40540540540540543,0.3684210526315789,0.1505512128682252,0.18318318318318316,development pooled OOF Youden threshold applied unchanged to holdout,0.4094651917024299,0.4782608695652174,0.5915915915915916,0.7777777777777778,0.40540540540540543,0.3684210526315789,0.1505512128682252,0.18318318318318316,full-development in-sample Youden threshold applied to holdout,25.0,0.9590772170951808,0.8043478260869565,0.7522522522522522,0.6666666666666666,0.8378378378378378,0.5714285714285714,0.4557819093751084,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
3_efficient_ml,imagenet_resnet10t__gray3__label_thrfull__efficient_ML|NAIVE_BAYES,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.7447447447447447,0.5491932795761745,0.940296209913315,0.745 (0.549–0.940),0.5412031856145763,0.9482863038749132,0.745 (0.541–0.948),0.7128378378378378,0.8108108108108109,0.5464714714714715,0.9159159159159158,0.745 (0.546–0.916),2000,0.3258793661611536,46,0.048364672051349075,0.41304347826086957,0.5930930930930931,0.8888888888888888,0.2972972972972973,0.37209302325581395,0.16820522845986144,0.1861861861861862,development pooled OOF Youden threshold applied unchanged to holdout,0.39330188090353835,0.6304347826086957,0.6861861861861862,0.7777777777777778,0.5945945945945946,0.45161290322580644,0.29572130029994026,0.3723723723723724,full-development in-sample Youden threshold applied to holdout,25.0,0.9624558852704057,0.8043478260869565,0.7522522522522522,0.6666666666666666,0.8378378378378378,0.5714285714285714,0.4557819093751084,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
3_efficient_ml,radimagenet_densenet121__gray3__label_thrfull__efficient_ML|LOGREG,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.7387387387387387,0.49523851882958386,0.9822389586478937,0.739 (0.495–0.982),0.4836780667863527,0.9937994106911248,0.739 (0.484–0.994),0.706081081081081,0.8310810810810811,0.48648648648648646,0.9519519519519519,0.739 (0.486–0.952),2000,0.24784564814703594,46,0.5410996632039398,0.5869565217391305,0.617117117117117,0.6666666666666666,0.5675675675675675,0.3870967741935484,0.1860182372854463,0.23423423423423406,development pooled OOF Youden threshold applied unchanged to holdout,0.5387071199362425,0.5869565217391305,0.617117117117117,0.6666666666666666,0.5675675675675675,0.3870967741935484,0.1860182372854463,0.23423423423423406,full-development in-sample Youden threshold applied to holdout,25.0,0.6231515931028379,0.8043478260869565,0.7522522522522522,0.6666666666666666,0.8378378378378378,0.5714285714285714,0.4557819093751084,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
3_efficient_ml,imagenet_resnet10t__gray3__label_thrfull__efficient_ML|LOGREG,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.7327327327327327,0.5041073252647115,0.961358140200754,0.733 (0.504–0.961),0.4937584663017842,0.9717069991636811,0.733 (0.494–0.972),0.7027027027027027,0.8141891891891893,0.5015015015015015,0.9339339339339339,0.733 (0.502–0.934),2000,0.23376046664583014,46,0.4502594849765407,0.5652173913043478,0.6456456456456456,0.7777777777777778,0.5135135135135135,0.4117647058823529,0.23199037441138332,0.2912912912912913,development pooled OOF Youden threshold applied unchanged to holdout,0.5216341534664598,0.6521739130434783,0.6996996996996997,0.7777777777777778,0.6216216216216216,0.4666666666666667,0.31808989481148436,0.3993993993993994,full-development in-sample Youden threshold applied to holdout,25.0,0.6208736143934827,0.7608695652173914,0.6831831831831832,0.5555555555555556,0.8108108108108109,0.47619047619047616,0.3309844818081144,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
4_cnn_finetuned,imagenet_resnet50|finetune_improved|thrfull,False,,False,224,1,BASIC,MIN_BBOX,,0.6996996996996997,0.4650075159328576,0.9343918834665416,0.700 (0.465–0.934),0.4542336295290452,0.9451657698703542,0.700 (0.454–0.945),0.6621621621621621,0.777027027027027,0.4504504504504505,0.9099099099099098,0.700 (0.450–0.910),2000,0.2118522244147919,46,0.4221775084733963,0.6521739130434783,0.6576576576576576,0.6666666666666666,0.6486486486486487,0.42857142857142855,0.25404374118044964,,median repeat-wise development fine-tuned outer-OOF Youden threshold matched to final refit model family applied unchanged to holdout,,,,,,,,,,25.0,0.5862440466880798,0.7608695652173914,0.6831831831831832,0.5555555555555556,0.8108108108108109,0.47619047619047616,0.3309844818081144,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
