part,model,optimization,opt_arm_id,opt_is_reference,opt_input_size,opt_n_slices,opt_augmentation,tumor_context_mode,roi_only_background_value,AUC,DeLong_CI_lower,DeLong_CI_upper,AUC_with_DeLong_95CI,Jackknife_CI_lower,Jackknife_CI_upper,AUC_with_Jackknife_95CI,Jackknife_min_AUC,Jackknife_max_AUC,Bootstrap_CI_lower,Bootstrap_CI_upper,AUC_with_Bootstrap_95CI,Bootstrap_repeats,Brier_score,n_test_patients,OOF_threshold,OOF_accuracy,OOF_balanced_accuracy,OOF_sensitivity,OOF_specificity,OOF_F1_score,OOF_MCC,OOF_YOUDEN,OOF_threshold_source,INSAMPLE_threshold,INSAMPLE_accuracy,INSAMPLE_balanced_accuracy,INSAMPLE_sensitivity,INSAMPLE_specificity,INSAMPLE_F1_score,INSAMPLE_MCC,INSAMPLE_YOUDEN,INSAMPLE_threshold_source,toprisk_percent,toprisk_threshold,toprisk_accuracy,toprisk_balanced_accuracy,toprisk_sensitivity,toprisk_specificity,toprisk_F1_score,toprisk_MCC,toprisk_threshold_source,DeLong_CI_method,Jackknife_CI_method,Bootstrap_CI_method
4_cnn_finetuned,radimagenet_resnet10t|finetune_improved|thrfull,False,,False,224,1,BASIC,MIN_BBOX,,0.9529411764705882,0.8682192057113769,1.0,0.953 (0.868–1.000),0.864336818591312,1.0,0.953 (0.864–1.000),0.9411764705882353,0.975,0.8235294117647058,1.0,0.953 (0.824–1.000),2000,0.23764333510820138,22,0.4743174761533737,0.36363636363636365,0.5882352941176471,1.0,0.17647058823529413,0.4166666666666667,0.2154985579603078,,median repeat-wise development fine-tuned outer-OOF Youden threshold matched to final refit model family applied unchanged to holdout,,,,,,,,,,25.0,0.5317639708518982,0.8636363636363636,0.8411764705882353,0.8,0.8823529411764706,0.7272727272727273,0.6420707920165691,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
1_cnn_end2end,radimagenet_densenet121|frozen|thrfull,False,,False,224,1,FLIPS,MIN_BBOX,,0.9176470588235295,0.7491865495314671,1.0,0.918 (0.749–1.000),0.7347675566227548,1.0,0.918 (0.735–1.000),0.8970588235294118,1.0,0.7176470588235294,1.0,0.918 (0.718–1.000),2000,0.1758354586525452,22,0.4575720429420471,0.6818181818181818,0.7941176470588236,1.0,0.5882352941176471,0.5882352941176471,0.49507377148833714,,development pooled OOF Youden threshold applied unchanged to holdout,,,,,,,,,,25.0,0.5134203433990479,0.8636363636363636,0.8411764705882353,0.8,0.8823529411764706,0.7272727272727273,0.6420707920165691,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
3_efficient_ml,radimagenet_densenet121__gray3__label_thrfull__efficient_ML|LOGREG,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.8823529411764706,0.6710192160343047,1.0,0.882 (0.671–1.000),0.6528507053074502,1.0,0.882 (0.653–1.000),0.8529411764705882,0.9852941176470588,0.6470588235294117,1.0,0.882 (0.647–1.000),2000,0.19851452216633375,22,0.7065917314187464,0.8636363636363636,0.7,0.4,1.0,0.5714285714285714,0.5830951894845301,0.3999999999999999,development pooled OOF Youden threshold applied unchanged to holdout,0.5152869573108869,0.6363636363636364,0.6941176470588235,0.8,0.5882352941176471,0.5,0.32539568672798425,0.388235294117647,full-development in-sample Youden threshold applied to holdout,25.0,0.6055123572878365,0.8636363636363636,0.8411764705882353,0.8,0.8823529411764706,0.7272727272727273,0.6420707920165691,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
1_cnn_end2end,radimagenet_resnet50|frozen|thrfull,False,,False,224,1,FLIPS,MIN_BBOX,,0.8588235294117648,0.6785472437894579,1.0,0.859 (0.679–1.000),0.6685694003532785,1.0,0.859 (0.669–1.000),0.8382352941176471,0.926470588235294,0.6588235294117647,1.0,0.859 (0.659–1.000),2000,0.1630015854989188,22,0.4630645364522934,0.8181818181818182,0.8117647058823529,0.8,0.8235294117647058,0.6666666666666666,0.561011491466461,,development pooled OOF Youden threshold applied unchanged to holdout,,,,,,,,,,25.0,0.524232029914856,0.8636363636363636,0.8411764705882353,0.8,0.8823529411764706,0.7272727272727273,0.6420707920165691,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
3_efficient_ml,radimagenet_inceptionv3__gray3__label_thrfull__efficient_ML|LOGREG,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.8588235294117647,0.6478045233200824,1.0,0.859 (0.648–1.000),0.6308640958035727,1.0,0.859 (0.631–1.000),0.8235294117647058,0.9558823529411764,0.6235294117647059,1.0,0.859 (0.624–1.000),2000,0.1911747562738024,22,0.4871374860617072,0.6818181818181818,0.723529411764706,0.8,0.6470588235294118,0.5333333333333333,0.37625606633113623,0.44705882352941195,development pooled OOF Youden threshold applied unchanged to holdout,0.6075392156813693,0.7727272727272727,0.7823529411764706,0.8,0.7647058823529411,0.6153846153846154,0.49195203701447265,0.5647058823529412,full-development in-sample Youden threshold applied to holdout,25.0,0.7160631881265358,0.8636363636363636,0.8411764705882353,0.8,0.8823529411764706,0.7272727272727273,0.6420707920165691,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
3_efficient_ml,radimagenet_resnet10t__gray3__label_thrfull__efficient_ML|LOGREG,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.8470588235294118,0.6340024533818582,1.0,0.847 (0.634–1.000),0.6171854410578066,1.0,0.847 (0.617–1.000),0.8088235294117646,0.9411764705882353,0.611764705882353,1.0,0.847 (0.612–1.000),2000,0.22303217043086712,22,0.5736427534607236,0.8181818181818182,0.8117647058823529,0.8,0.8235294117647058,0.6666666666666666,0.561011491466461,0.6235294117647059,development pooled OOF Youden threshold applied unchanged to holdout,0.5336498742353912,0.7272727272727273,0.7529411764705882,0.8,0.7058823529411765,0.5714285714285714,0.4311874002772672,0.5058823529411764,full-development in-sample Youden threshold applied to holdout,25.0,0.5915681711775781,0.7727272727272727,0.7117647058823529,0.6,0.8235294117647058,0.5454545454545454,0.3985266984930429,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
3_efficient_ml,radimagenet_densenet121__gray3__label_thrfull__efficient_ML|NAIVE_BAYES,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.8352941176470589,0.6084880587329283,1.0,0.835 (0.608–1.000),0.5901052581051187,1.0,0.835 (0.590–1.000),0.7941176470588235,0.926470588235294,0.5764705882352941,1.0,0.835 (0.576–1.000),2000,0.3355001241388161,22,0.834550319318079,0.6363636363636364,0.6941176470588235,0.8,0.5882352941176471,0.5,0.32539568672798425,0.388235294117647,development pooled OOF Youden threshold applied unchanged to holdout,0.6759113763235445,0.6363636363636364,0.6941176470588235,0.8,0.5882352941176471,0.5,0.32539568672798425,0.388235294117647,full-development in-sample Youden threshold applied to holdout,25.0,0.9599485213514083,0.7727272727272727,0.7117647058823529,0.6,0.8235294117647058,0.5454545454545454,0.3985266984930429,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
3_efficient_ml,radimagenet_inceptionv3__gray3__label_thrfull__efficient_ML|NAIVE_BAYES,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.8352941176470587,0.6214593146172225,1.0,0.835 (0.621–1.000),0.6053086459742112,1.0,0.835 (0.605–1.000),0.7941176470588235,0.926470588235294,0.5997058823529416,1.0,0.835 (0.600–1.000),2000,0.2642178599163516,22,0.7495766947198825,0.7272727272727273,0.7529411764705882,0.8,0.7058823529411765,0.5714285714285714,0.4311874002772672,0.5058823529411764,development pooled OOF Youden threshold applied unchanged to holdout,0.47854728454463286,0.6363636363636364,0.6941176470588235,0.8,0.5882352941176471,0.5,0.32539568672798425,0.388235294117647,full-development in-sample Youden threshold applied to holdout,25.0,0.988886516011001,0.7727272727272727,0.7117647058823529,0.6,0.8235294117647058,0.5454545454545454,0.3985266984930429,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
3_efficient_ml,imagenet_resnet18__gray3__label_thrfull__efficient_ML|LOGREG,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.8235294117647058,0.6061497182143332,1.0,0.824 (0.606–1.000),0.5898921306379251,1.0,0.824 (0.590–1.000),0.7794117647058824,0.8970588235294117,0.6,1.0,0.824 (0.600–1.000),2000,0.18753786414078089,22,0.558028539197678,0.8181818181818182,0.6705882352941177,0.4,0.9411764705882353,0.5,0.4166305453899284,0.3411764705882354,development pooled OOF Youden threshold applied unchanged to holdout,0.5527994406590863,0.8181818181818182,0.6705882352941177,0.4,0.9411764705882353,0.5,0.4166305453899284,0.3411764705882354,full-development in-sample Youden threshold applied to holdout,25.0,0.522177703240401,0.7727272727272727,0.7117647058823529,0.6,0.8235294117647058,0.5454545454545454,0.3985266984930429,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
3_efficient_ml,imagenet_resnet18__gray3__label_thrfull__efficient_ML|NAIVE_BAYES,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.8235294117647058,0.6061497182143332,1.0,0.824 (0.606–1.000),0.5898921306379251,1.0,0.824 (0.590–1.000),0.7794117647058824,0.8970588235294117,0.6,1.0,0.824 (0.600–1.000),2000,0.16995235961286273,22,0.26473610630429506,0.6363636363636364,0.6941176470588235,0.8,0.5882352941176471,0.5,0.32539568672798425,0.388235294117647,development pooled OOF Youden threshold applied unchanged to holdout,0.6626773883259958,0.8181818181818182,0.7411764705882353,0.6,0.8823529411764706,0.6,0.4823529411764706,0.48235294117647065,full-development in-sample Youden threshold applied to holdout,25.0,0.6432109360564233,0.7727272727272727,0.7117647058823529,0.6,0.8235294117647058,0.5454545454545454,0.3985266984930429,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
3_efficient_ml,radimagenet_resnet10t__gray3__label_thrfull__efficient_ML|NAIVE_BAYES,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.8117647058823529,0.5606239031786169,1.0,0.812 (0.561–1.000),0.540949443870363,1.0,0.812 (0.541–1.000),0.7647058823529411,0.926470588235294,0.5529411764705883,1.0,0.812 (0.553–1.000),2000,0.14482213800596536,22,0.40393890631648255,0.8181818181818182,0.7411764705882353,0.6,0.8823529411764706,0.6,0.4823529411764706,0.48235294117647065,development pooled OOF Youden threshold applied unchanged to holdout,0.039286109169381064,0.5909090909090909,0.6647058823529413,0.8,0.5294117647058824,0.47058823529411764,0.2772413120334688,0.3294117647058825,full-development in-sample Youden threshold applied to holdout,25.0,0.3635902203711126,0.8636363636363636,0.8411764705882353,0.8,0.8823529411764706,0.7272727272727273,0.6420707920165691,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
1_cnn_end2end,imagenet_resnet50|frozen|thrfull,False,,False,224,1,FLIPS,MIN_BBOX,,0.8,0.5407852265986536,1.0,0.800 (0.541–1.000),0.5193630131688738,1.0,0.800 (0.519–1.000),0.75,0.9117647058823528,0.5411764705882354,1.0,0.800 (0.541–1.000),2000,0.16728130173571706,22,0.4395396411418915,0.7727272727272727,0.7117647058823529,0.6,0.8235294117647058,0.5454545454545454,0.3985266984930429,,development pooled OOF Youden threshold applied unchanged to holdout,,,,,,,,,,25.0,0.49280449748039246,0.7727272727272727,0.7117647058823529,0.6,0.8235294117647058,0.5454545454545454,0.3985266984930429,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
4_cnn_finetuned,radimagenet_resnet50|finetune_improved|thrfull,False,,False,224,1,BASIC,MIN_BBOX,,0.788235294117647,0.5579397063034714,1.0,0.788 (0.558–1.000),0.542561775356871,1.0,0.788 (0.543–1.000),0.75,0.8676470588235293,0.5529411764705883,1.0,0.788 (0.553–1.000),2000,0.21019498118170873,22,0.4096769094467163,0.5909090909090909,0.6647058823529413,0.8,0.5294117647058824,0.47058823529411764,0.2772413120334688,,median repeat-wise development fine-tuned outer-OOF Youden threshold matched to final refit model family applied unchanged to holdout,,,,,,,,,,25.0,0.6565612554550171,0.7727272727272727,0.7117647058823529,0.6,0.8235294117647058,0.5454545454545454,0.3985266984930429,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
1_cnn_end2end,radimagenet_resnet10t|frozen|thrfull,False,,False,224,1,FLIPS,MIN_BBOX,,0.7647058823529411,0.4822993131555702,1.0,0.765 (0.482–1.000),0.4589362241265016,1.0,0.765 (0.459–1.000),0.7058823529411764,0.8676470588235294,0.48235294117647054,1.0,0.765 (0.482–1.000),2000,0.1652352527238414,22,0.4695805311203003,0.8636363636363636,0.7705882352941176,0.6,0.9411764705882353,0.6666666666666666,0.5880064914496507,,development pooled OOF Youden threshold applied unchanged to holdout,,,,,,,,,,25.0,0.4382968842983246,0.7727272727272727,0.7117647058823529,0.6,0.8235294117647058,0.5454545454545454,0.3985266984930429,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
4_cnn_finetuned,imagenet_resnet18|finetune_improved|thrfull,False,,False,224,1,BASIC,MIN_BBOX,,0.7411764705882353,0.4523705881762535,1.0,0.741 (0.452–1.000),0.42917468421484734,1.0,0.741 (0.429–1.000),0.6764705882352942,0.8235294117647058,0.43529411764705883,0.9764705882352941,0.741 (0.435–0.976),2000,0.20326249808688948,22,0.5153274834156036,0.6818181818181818,0.6529411764705882,0.6,0.7058823529411765,0.46153846153846156,0.26647402004950604,,median repeat-wise development fine-tuned outer-OOF Youden threshold matched to final refit model family applied unchanged to holdout,,,,,,,,,,25.0,0.5929936766624451,0.7727272727272727,0.7117647058823529,0.6,0.8235294117647058,0.5454545454545454,0.3985266984930429,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
1_cnn_end2end,imagenet_resnet10t|frozen|thrfull,False,,False,224,1,FLIPS,MIN_BBOX,,0.7411764705882353,0.4247004580941007,1.0,0.741 (0.425–1.000),0.39746487626150767,1.0,0.741 (0.397–1.000),0.6764705882352942,0.8823529411764706,0.4350000000000005,0.988235294117647,0.741 (0.435–0.988),2000,0.2474952141694046,22,0.559177964925766,0.6818181818181818,0.723529411764706,0.8,0.6470588235294118,0.5333333333333333,0.37625606633113623,,development pooled OOF Youden threshold applied unchanged to holdout,,,,,,,,,,25.0,0.6780723929405212,0.7727272727272727,0.7117647058823529,0.6,0.8235294117647058,0.5454545454545454,0.3985266984930429,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
